NOM_ENT,NOM_LOC_ORIGINAL,loc,lon,lat,address
BAJA CALIFORNIA,PUNTA SAN QUINTIN,"PUNTA SAN QUINTIN, MEXICO",-115.9379302,30.56087669999999,"22940 san quintín, baja california, mexico"
BAJA CALIFORNIA,R/A. BITZAL 5TA. SECC.,"R/A. BITZAL 5TA. SECC., MEXICO",-92.52488389999999,18.0521797,"86723 bitzal, tab., mexico"
BAJA CALIFORNIA,RANCHO ZIMARRON KM 68,"RANCHO ZIMARRON KM 68, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,RASPORIA,"RASPORIA, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,RINCON BALLENAS,"RINCON BALLENAS, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,RIO COLORADO,"RIO COLORADO, MEXICO",-113.4269284983992,34.30643381894128,colorado river
BAJA CALIFORNIA,RIO HARDY,"RIO HARDY, MEXICO",-115.3015377358521,32.176493242988,"hardy river, 21742 baja california, mexico"
BAJA CALIFORNIA,ROCA CONSAG,"ROCA CONSAG, MEXICO",-114.4833333,31.1166667,"roca consag, mexico"
BAJA CALIFORNIA,ROSALIITA,"ROSALIITA, MEXICO",-99.0648804,19.2957276,"rosalita, ciudad de méxico, cdmx, mexico"
BAJA CALIFORNIA,ROSALILLITA,"ROSALILLITA, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,ROSALITA,"ROSALITA, MEXICO",-117.0617553,32.3661011,"rosarito, baja california, mexico"
BAJA CALIFORNIA,ROSARITO,"ROSARITO, MEXICO",-117.0617553,32.3661011,"rosarito, baja california, mexico"
BAJA CALIFORNIA,SAN LUIS GONZAGA,"SAN LUIS GONZAGA, MEXICO",-101.9724559,21.783631,"47504 san luis gonzaga, jalisco, mexico"
BAJA CALIFORNIA,SANTA ROSALIA,"SANTA ROSALIA, MEXICO",-112.2701486,27.3361939,"23920 santa rosalía, bcs, mexico"
BAJA CALIFORNIA,SANTA ROSALILLITA,"SANTA ROSALILLITA, MEXICO",-114.2369444,28.6686111,"22995 santa rosaliíta, b.c., mexico"
BAJA CALIFORNIA,VALLE TRANQUILO,"VALLE TRANQUILO, MEXICO",-115.8041126,30.28808769999999,"ejido valle tranquilo, 22952 b.c., mexico"
BAJA CALIFORNIA,VARADERO ALTAMIRA,"VARADERO ALTAMIRA, MEXICO",-97.92115550000001,22.4077462,"altamira, tamaulipas, mexico"
BAJA CALIFORNIA,VARADERO DEL CARDON,"VARADERO DEL CARDON, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,VARDERO LOS HOJITOS,"VARDERO LOS HOJITOS, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,VILLA DE JESUS MARIA,"VILLA DE JESUS MARIA, MEXICO",-114.0011111,28.2813888,"22994 villa jesús maría, baja california, mexico"
BAJA CALIFORNIA SUR,LA PAZ,"LA PAZ, MEXICO",-110.3127531,24.1426408,"la paz, bcs, mexico"
BAJA CALIFORNIA SUR,LOPEZ MATEOS,"LOPEZ MATEOS, MEXICO",-99.2674713,19.5562275,"ciudad lópez mateos, state of mexico, mexico"
BAJA CALIFORNIA SUR,LORETO,"LORETO, MEXICO",-111.3477531,26.0117564,"loreto, bcs, mexico"
BAJA CALIFORNIA SUR,LOS CABOS,"LOS CABOS, MEXICO",-109.9152149,22.8948129,"cabo san lucas, bcs, mexico"
BAJA CALIFORNIA SUR,PUNTA ABREOJOS,"PUNTA ABREOJOS, MEXICO",-113.5743381,26.7173026,"23970 punta abreojos, bcs, mexico"
BAJA CALIFORNIA SUR,AGUAS LITORALES (SAN CARLOS),"AGUAS LITORALES (SAN CARLOS), MEXICO",-111.0370989,27.9617875,"85506 san carlos nuevo guaymas, sonora, mexico"
BAJA CALIFORNIA SUR,ARROYO DE LA POZA,"ARROYO DE LA POZA, MEXICO",-110.9827085,29.0604111,"av. arroyo de la poza, 83287 hermosillo, son., mexico"
BAJA CALIFORNIA SUR,BAHIA ALMEJAS,"BAHIA ALMEJAS, MEXICO",-115.5679125,32.638773,"bahía almeja, el coloso ii, 21138 santa isabel, b.c., mexico"
BAJA CALIFORNIA SUR,BAHIA BALLENAS,"BAHIA BALLENAS, MEXICO",-99.1774004,19.4369086,"bahía de ballenas, verónica anzúres, 11300 ciudad de méxico, cdmx, mexico"
BAJA CALIFORNIA SUR,BAHIA CONCEPCION,"BAHIA CONCEPCION, MEXICO",-111.7376178,26.5940482,"bahía concepción, baja california sur, mexico"
BAJA CALIFORNIA SUR,BAHIA DE LA PAZ,"BAHIA DE LA PAZ, MEXICO",-110.3416797,24.1392791,"bahía de la paz, 23090 la paz, b.c.s., mexico"
BAJA CALIFORNIA SUR,BAHIA DE LOS ANGELES,"BAHIA DE LOS ANGELES, MEXICO",-113.5624339,28.9519153,"22980 bahía de los ángeles, baja california, mexico"
BAJA CALIFORNIA SUR,BAHIA DE SAN JUANICO,"BAHIA DE SAN JUANICO, MEXICO",-112.4812989,26.2568056,"23812 san juanico, bcs, mexico"
BAJA CALIFORNIA SUR,BAHIA DE SANTANA,"BAHIA DE SANTANA, MEXICO",-98.9003912,18.9242483,"de santa ana, 62844 atlatlahucan, mor., mexico"
BAJA CALIFORNIA SUR,BAHIA LA VENTANA,"BAHIA LA VENTANA, MEXICO",-109.9377769,24.0683519,"bahia de la ventana, mexico"
BAJA CALIFORNIA SUR,BAHIA LOS MUERTOS,"BAHIA LOS MUERTOS, MEXICO",-110.3120585,24.1176068,"bahía de los muertos, la paz, b.c.s., mexico"
BAJA CALIFORNIA SUR,BAHIA MAGDALENA,"BAHIA MAGDALENA, MEXICO",-112,24.583333,"magdalena bay, 23749 bcs, mexico"
BAJA CALIFORNIA SUR,BAHIA SAN FRANCISQUITO,"BAHIA SAN FRANCISQUITO, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA SUR,BAHIA SAN HIPOLITO,"BAHIA SAN HIPOLITO, MEXICO",-99.1778203,19.4386008,"bahía de san hipólito, ciudad de méxico, cdmx, mexico"
BAJA CALIFORNIA SUR,BAHIA SAN PABLO,"BAHIA SAN PABLO, MEXICO",-110.312492,24.1187477,"bahía san pablo, sudcalifornia, 23080 la paz, b.c.s., mexico"
BAJA CALIFORNIA SUR,BAHIA SAN RAFAEL,"BAHIA SAN RAFAEL, MEXICO",-99.1511285,19.4271992,"c. tolsá 36, colonia centro, juárez, cuauhtémoc, 06000 ciudad de méxico, cdmx, mexico"
BAJA CALIFORNIA SUR,BAHIA SAN ROQUE,"BAHIA SAN ROQUE, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA SUR,BAHIA SANTA INES,"BAHIA SANTA INES, MEXICO",-106.3816288,23.238676,"bahía sta. inés, mazatlán i, 82190 mazatlán, sin., mexico"
BAJA CALIFORNIA SUR,BAHIA SANTA MARIA,"BAHIA SANTA MARIA, MEXICO",-109.8153495,22.9297512,"bahia santa maria, mexico"
BAJA CALIFORNIA SUR,BAJO DEL PERDIDO,"BAJO DEL PERDIDO, MEXICO",-99.8962439,20.5175155,"del perdido, vergel del acueducto, centro, 76750 tequisquiapan, qro., mexico"
